0,2,3,0.0304917779743084
E,V,E,0.1050131772559171
E,R,SPACE,0.4900193198941771
R,SPACE,Y,0.0111339272271333
SPACE,Y,O,0.2526642349157427
Y,O,U,0.2855599289959095
O,U,SPACE,0.1878850219578758
SPACE,H,A,0.0512413696248752
H,A,V,0.0173335003422417
A,V,E,0.094005771929092
V,E,SPACE,0.0642731253566336
E,SPACE,T,0.1899093723628091
D,O,SPACE,0.0168274127410084
A,SPACE,S,0.0574409427399835
E,N,D,0.0967892537358754
O,W,E,0.0123991462302167
D,SPACE,E,0.0167008908407
SPACE,E,N,0.2388733477821343
T,I,T,0.0389687452949668
Y,",",SPACE,0.0160682813391584
",",SPACE,T,0.0294796027718417
E,T,E,0.0142969747348417
R,M,I,0.0146765404357667
M,I,N,0.0506087601233335
E,SPACE,[,0.0103747958252833
.,.,.,0.0199904602487167
T,H,O,0.0270756866659834
H,O,S,0.0272022085662917
O,S,E,0.0389687452949668
S,E,SPACE,0.1794080546372174
S,SPACE,W,0.0192313288468667
SPACE,W,H,0.0538983295313502
W,H,I,0.0165743689403917
H,I,C,0.0120195805292917
I,C,H,0.0293530808715334
E,SPACE,A,0.160303247690659
SPACE,A,L,0.0592122493443002
A,L,L,0.0647792129578669
L,SPACE,S,0.0408665737995918
U,R,A,0.01442349663515
R,E,L,0.0256839457625917
E,L,A,0.0161948032394667
L,A,T,0.0322630845786251
S,SPACE,U,0.0428909242045251
SPACE,U,N,0.2586107642302344
U,N,D,0.0308713436752334
N,D,I,0.0232800296567334
D,I,S,0.0258104676629001
I,S,T,0.0614896435498502
T,I,M,0.0307448217749251
I,M,E,0.0473191907153168
S,O,U,0.0498496287214835
U,R,C,0.0294796027718417
R,C,E,0.0509883258242585
E,RET,RET,0.0492170192199418
RET,RET,RET,0.0651587786587919
RET,RET,-,0.0454213622106918
RET,-,-,0.0234065515570417
-,-,-,0.0339078692826334
-,-,RET,0.0221413325539584
-,RET,#,0.0161948032394667
RET,#,#,0.1188040643895255
#,#,#,0.0476987564162418
#,#,SPACE,0.1193101519907588
SPACE,S,O,0.158025853485109
C,E,S,0.094005771929092
E,S,RET,0.0326426502795501
RET,1,.,0.0270756866659834
SPACE,O,B,0.0234065515570417
