T,I,M,0.0170793710897078
I,M,E,0.0293836631926628
T,SPACE,V,0.0160322587710354
SPACE,V,O,0.0416255062335118
O,Y,A,0.0157358773864317
A,G,E,0.0822365973587793
R,SPACE,A,0.0395434172198777
A,SPACE,É,0.0269826365660226
SPACE,É,T,0.1030491547396689
É,T,É,0.0576912265169294
T,É,SPACE,0.1461319238185561
M,É,SPACE,0.0129671469538095
É,SPACE,E,0.0335088431787591
N,SPACE,L,0.0359504523750126
SPACE,L,O,0.0746117346492441
L,O,G,0.0319079847735623
N,T,.,0.0172310197823143
T,.,SPACE,0.0223465300443443
.,SPACE,L,0.1037491434805877
E,SPACE,H,0.0302505493822485
SPACE,H,A,0.0381792873638401
SPACE,M,A,0.1899064048074442
M,A,R,0.0671056742897988
A,R,C,0.0343875667278784
C,H,A,0.0992829356908597
H,A,N,0.0348629998263709
A,N,D,0.111737366524024
N,D,I,0.0403160332879502
S,E,S,0.0734694760580378
T,SPACE,À,0.0570046410224745
N,D,O,0.0100634333394832
R,SPACE,U,0.0385702557756454
U,N,SPACE,0.1945703990296927
R,R,A,0.0168114552925178
I,C,H,0.0222860383409014
",",SPACE,M,0.0371684887087445
.,RET,S,0.0187353151601354
L,E,S,0.3842069120397729
S,SPACE,G,0.0296820205774405
E,SPACE,B,0.0832236653702746
A,I,L,0.0386607416704102
L,A,R,0.0199992282526263
A,R,D,0.0444189553098213
R,D,E,0.0124798764957835
RET,L,E,0.0638001242627096
",",SPACE,U,0.0272268030781012
E,SPACE,M,0.1543434908061988
M,A,T,0.0512910924436025
T,É,R,0.0312729244157226
É,R,I,0.0806593763896273
R,I,E,0.0895381976247386
I,E,L,0.0228660875995546
E,L,SPACE,0.0469846983283325
L,SPACE,D,0.0519110718189814
SPACE,G,U,0.0249066992510437
G,U,E,0.0438946814523086
U,E,R,0.0279481736322247
R,R,E,0.0460847980226305
M,P,R,0.0129237122330015
P,R,E,0.0828637723574337
R,E,N,0.0972181832825267
N,A,N,0.0335336736715129
A,N,T,0.2771897252523816
N,T,",",0.0266510227254845
T,",",SPACE,0.0624138669330243
A,U,T,0.0761197210462583
U,T,R,0.0338607203418372
E,S,",",0.0695531928450636
SPACE,C,A,0.1264652787650438
C,A,N,0.0277798407872048
A,N,O,0.0126916254201004
N,O,N,0.024191610886153
S,SPACE,H,0.0244613535514285
SPACE,H,O,0.0271800128852995
T,C,H,0.0143211171863105
I,S,S,0.0715708754379287
SPACE,A,V,0.1121062447452038
A,V,E,0.0916314342619964
V,E,C,0.0722331337604288
E,C,SPACE,0.0749293673564749
SPACE,G,R,0.0733564152933594
G,R,A,0.0745017497338934
N,D,E,0.0675956850499531
E,SPACE,Q,0.0663325362594163
SPACE,Q,U,0.2660746497070345
Q,U,A,0.0427042345549698
U,A,N,0.0177573628475564
N,T,I,0.0619519302885511
I,T,É,0.0875794781314081
É,SPACE,D,0.0836518235966773
D,SQT,O,0.0172662149552265
U,S,SPACE,0.1152664282689193
SPACE,C,U,0.0164425584298269
U,I,S,0.0586780708302918
I,S,I,0.0352976639401393
S,I,N,0.0221007230792909
N,E,S,0.0703739785777574
S,SPACE,R,0.0702660069456029
SPACE,R,O,0.0592332523131691
R,O,U,0.0668108028675924
O,U,L,0.0244853451761839
U,L,A,0.0296593524999716
L,A,N,0.0659664542648979
N,T,E,0.129648093083206
T,E,S,0.0869365324143831
T,SPACE,E,0.1128978937960853
N,SPACE,G,0.0199517483239147
I,D,É,0.0147388920910437
É,",",SPACE,0.017741648053719
",",SPACE,P,0.0547971319223184
R,É,S,0.067492448361612
S,I,S,0.0144187987043509
S,T,A,0.0571727128863393
T,A,N,0.0833453012300481
N,C,E,0.1343442066290392
.,RET,E,0.0341364655736793
S,I,È,0.0134634399031965
C,L,E,0.0160854616436474
L,E,",",0.0285435462129827
",",SPACE,C,0.0591145431706346
C,A,R,0.0480145299662371
SPACE,J,U,0.0400091194495883
T,R,O,0.0669440896717886
R,O,P,0.040061986775001
SPACE,P,R,0.2689527498851419
P,R,O,0.1159811810866106
R,O,C,0.0235468383010426
O,C,H,0.0170919541096843
H,E,SPACE,0.0355327520363237
T,.,RET,0.0169963604408846
B,L,E,0.0656367232169786
L,E,N,0.0207121542022321
O,C,A,0.0151840700170592
C,A,M,0.012327482142734
A,M,P,0.0268788592738603
M,P,I,0.0211292766540776
I,N,A,0.049455574696976
S,SPACE,B,0.0346028388977886
SPACE,B,L,0.0154822969112594
