/,w,210,0.026569599064750114
w,w,256,0.03238960647893347
w,.,175,0.022141332553958427
.,s,48,0.006073051214800026
i,a,703,0.0889448959167587
a,m,892,0.11285753507503381
a,k,272,0.034413956883866816
k,.,62,0.0078443578191167
.,p,127,0.016068281339158403
p,a,2736,0.34616391924360146
g,e,2160,0.27328730466600115
/,),72,0.009109576822200038
),"
",491,0.06212225305139193
"
",m,163,0.020623069750258422
a,i,4402,0.5569494051572857
l,:,55,0.006958704516958363
 ,s,7707,0.9751042856763291
k,@,4,0.0005060876012333355
@,c,26,0.0032895694080166808
c,s,242,0.030618299874616797
s,.,1347,0.17042499971532574
.,m,109,0.013790887133608392
l,.,336,0.04251135850360018
.,c,794,0.10045838884481709
c,a,1952,0.24697074940186772
a,"
",174,0.022014810653650095
"
","
",4495,0.5687159418859608
"
",#,1541,0.19497024837514249
#, ,1559,0.1972476425806925
s,u,1665,0.2106589640133759
u,m,578,0.07312965837821697
m,m,914,0.11564101688181716
r,y,599,0.07578661828469199
y,"
",115,0.014550018535458396
"
",>,84,0.010627839625900045
>, ,387,0.048963975419325206
t,e,5727,0.7245909230658281
e,"
",843,0.10665796195992545
 ,m,4763,0.6026238111685942
m,y,135,0.017080456541625072
y, ,2039,0.2579781547286928
 ,r,3238,0.4096779131983851
r,e,9828,1.2434572362303054
r,c,1001,0.1266484222086422
h, ,827,0.10463361155499211
 ,a,8485,1.0735383241162129
a, ,4329,0.5477133064347773
 ,i,3764,0.4762284327605687
i,s,4039,0.5110219553453605
s, ,14979,1.895171544718533
e, ,23241,2.9404954850659877
 ,l,7831,0.9907930013145625
g,.,186,0.0235330734573501
., ,3925,0.49659845871021047
i,’,1,0.00012652190030833387
’,m,1,0.00012652190030833387
m, ,477,0.060350946447075254
 ,b,2489,0.31491300986744303
b,r,346,0.04377657750668352
o,a,152,0.01923132884686675
a,d,685,0.0866675017112087
d,l,60,0.007591314018500032
l,y,543,0.0687013918674253
n,t,6811,0.861740663000062
s,t,4649,0.5882003145334441
e,d,1360,0.17206978441933407
d, ,2897,0.3665339451932432
n, ,8190,1.0362143635252543
 ,t,7348,0.9296829234656373
 ,p,8562,1.0832805104399545
o,b,572,0.07237052697636698
b,l,889,0.11247796937410881
